rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20240321000442,11011,2023,01538528,453860,OFS,재무제표,BS,재무상태표,유동자산,제 19 기,2023.12.31 현재,"40,982,940,508",제 18 기,2022.12.31 현재,"14,046,133,439",제 17 기,2021.12.31 현재,"9,420,660,849",2,KRW
20240321000442,11011,2023,01538528,453860,OFS,재무제표,BS,재무상태표,비유동자산,제 19 기,2023.12.31 현재,"28,858,049,393",제 18 기,2022.12.31 현재,"20,784,470,497",제 17 기,2021.12.31 현재,"22,466,847,433",4,KRW
20240321000442,11011,2023,01538528,453860,OFS,재무제표,BS,재무상태표,자산총계,제 19 기,2023.12.31 현재,"69,840,989,901",제 18 기,2022.12.31 현재,"34,830,603,936",제 17 기,2021.12.31 현재,"31,887,508,282",6,KRW
20240321000442,11011,2023,01538528,453860,OFS,재무제표,BS,재무상태표,유동부채,제 19 기,2023.12.31 현재,"20,905,645,034",제 18 기,2022.12.31 현재,"20,821,832,650",제 17 기,2021.12.31 현재,"11,869,861,390",8,KRW
20240321000442,11011,2023,01538528,453860,OFS,재무제표,BS,재무상태표,비유동부채,제 19 기,2023.12.31 현재,"2,135,073,917",제 18 기,2022.12.31 현재,"10,178,981,248",제 17 기,2021.12.31 현재,"18,050,008,527",10,KRW
20240321000442,11011,2023,01538528,453860,OFS,재무제표,BS,재무상태표,부채총계,제 19 기,2023.12.31 현재,"23,040,718,951",제 18 기,2022.12.31 현재,"31,000,813,898",제 17 기,2021.12.31 현재,"29,919,869,917",12,KRW
20240321000442,11011,2023,01538528,453860,OFS,재무제표,BS,재무상태표,자본금,제 19 기,2023.12.31 현재,"2,828,607,500",제 18 기,2022.12.31 현재,"62,000,000",제 17 기,2021.12.31 현재,"62,000,000",15,KRW
20240321000442,11011,2023,01538528,453860,OFS,재무제표,BS,재무상태표,이익잉여금,제 19 기,2023.12.31 현재,"10,137,737,100",제 18 기,2022.12.31 현재,"3,315,623,923",제 17 기,2021.12.31 현재,"1,476,115,975",19,KRW
20240321000442,11011,2023,01538528,453860,OFS,재무제표,BS,재무상태표,자본총계,제 19 기,2023.12.31 현재,"46,800,270,950",제 18 기,2022.12.31 현재,"3,829,790,038",제 17 기,2021.12.31 현재,"1,967,638,365",22,KRW
20240321000442,11011,2023,01538528,453860,OFS,재무제표,IS,손익계산서,매출액,제 19 기,2023.01.01 ~ 2023.12.31,"47,339,369,988",제 18 기,2022.01.01 ~ 2022.12.31,"32,163,647,980",제 17 기,2021.01.01 ~ 2021.12.31,"14,645,597,568",24,KRW
20240321000442,11011,2023,01538528,453860,OFS,재무제표,IS,손익계산서,영업이익,제 19 기,2023.01.01 ~ 2023.12.31,"9,168,234,660",제 18 기,2022.01.01 ~ 2022.12.31,"4,516,449,711",제 17 기,2021.01.01 ~ 2021.12.31,"745,825,897",26,KRW
20240321000442,11011,2023,01538528,453860,OFS,재무제표,IS,손익계산서,법인세차감전 순이익,제 19 기,2023.01.01 ~ 2023.12.31,"7,829,619,104",제 18 기,2022.01.01 ~ 2022.12.31,"1,771,201,926",제 17 기,2021.01.01 ~ 2021.12.31,"266,517,548",28,KRW
20240321000442,11011,2023,01538528,453860,OFS,재무제표,IS,손익계산서,당기순이익,제 19 기,2023.01.01 ~ 2023.12.31,"6,822,113,177",제 18 기,2022.01.01 ~ 2022.12.31,"1,839,507,948",제 17 기,2021.01.01 ~ 2021.12.31,"517,762,660",30,KRW
20240321000442,11011,2023,01538528,453860,OFS,재무제표,BS,재무상태표,파생상품자산,제 19 기,2023.12.31 현재,0,제 18 기,2022.12.31 현재,"46,807,347",제 17 기,2021.12.31 현재,"21,522,390",48,KRW
20240321000442,11011,2023,01538528,453860,OFS,재무제표,BS,재무상태표,파생상품부채,제 19 기,2023.12.31 현재,0,제 18 기,2022.12.31 현재,"4,971,346,883",제 17 기,2021.12.31 현재,"3,230,929,534",50,KRW
20240321000442,11011,2023,01538528,453860,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 19 기,2023.01.01 ~ 2023.12.31,"6,822,113,177",제 18 기,2022.01.01 ~ 2022.12.31,"1,839,507,948",제 17 기,2021.01.01 ~ 2021.12.31,"517,762,660",62,KRW
20240321000442,11011,2023,01538528,453860,OFS,재무제표,IS,손익계산서,총포괄손익,제 19 기,2023.01.01 ~ 2023.12.31,"6,785,135,373",제 18 기,2022.01.01 ~ 2022.12.31,"1,854,963,362",제 17 기,2021.01.01 ~ 2021.12.31,"539,285,050",64,KRW
