rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20250514000974,11011,2024,00159218,051600,CFS,연결재무제표,BS,재무상태표,유동자산,제 41 기,2024.12.31 현재,"1,051,206,546,951",제 40 기,2023.12.31 현재,"968,483,212,478",제 39 기,2022.12.31 현재,"868,119,118,284",1,KRW
20250514000974,11011,2024,00159218,051600,CFS,연결재무제표,BS,재무상태표,비유동자산,제 41 기,2024.12.31 현재,"639,008,264,607",제 40 기,2023.12.31 현재,"628,850,338,356",제 39 기,2022.12.31 현재,"693,903,077,061",3,KRW
20250514000974,11011,2024,00159218,051600,CFS,연결재무제표,BS,재무상태표,자산총계,제 41 기,2024.12.31 현재,"1,690,214,811,558",제 40 기,2023.12.31 현재,"1,597,333,550,834",제 39 기,2022.12.31 현재,"1,562,022,195,345",5,KRW
20250514000974,11011,2024,00159218,051600,CFS,연결재무제표,BS,재무상태표,유동부채,제 41 기,2024.12.31 현재,"347,424,669,408",제 40 기,2023.12.31 현재,"318,863,253,177",제 39 기,2022.12.31 현재,"317,589,686,960",7,KRW
20250514000974,11011,2024,00159218,051600,CFS,연결재무제표,BS,재무상태표,비유동부채,제 41 기,2024.12.31 현재,"14,316,601,725",제 40 기,2023.12.31 현재,"5,873,889,717",제 39 기,2022.12.31 현재,"28,699,288,230",9,KRW
20250514000974,11011,2024,00159218,051600,CFS,연결재무제표,BS,재무상태표,부채총계,제 41 기,2024.12.31 현재,"361,741,271,133",제 40 기,2023.12.31 현재,"324,737,142,894",제 39 기,2022.12.31 현재,"346,288,975,190",11,KRW
20250514000974,11011,2024,00159218,051600,CFS,연결재무제표,BS,재무상태표,자본금,제 41 기,2024.12.31 현재,"9,000,000,000",제 40 기,2023.12.31 현재,"9,000,000,000",제 39 기,2022.12.31 현재,"9,000,000,000",13,KRW
20250514000974,11011,2024,00159218,051600,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 41 기,2024.12.31 현재,"1,318,557,516,231",제 40 기,2023.12.31 현재,"1,263,818,459,466",제 39 기,2022.12.31 현재,"1,207,413,493,138",17,KRW
20250514000974,11011,2024,00159218,051600,CFS,연결재무제표,BS,재무상태표,자본총계,제 41 기,2024.12.31 현재,"1,328,473,540,425",제 40 기,2023.12.31 현재,"1,272,596,407,940",제 39 기,2022.12.31 현재,"1,215,733,220,155",21,KRW
20250514000974,11011,2024,00159218,051600,CFS,연결재무제표,IS,손익계산서,매출액,제 41 기,2024.01.01 ~ 2024.12.31,"1,557,085,808,533",제 40 기,2023.01.01 ~ 2023.12.31,"1,533,850,791,494",제 39 기,2022.01.01 ~ 2022.12.31,"1,429,074,836,456",23,KRW
