rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20240320000936,11011,2023,01454341,367000,OFS,재무제표,BS,재무상태표,유동자산,제 19 기,2023.12.31 현재,"28,107,226,095",제 18 기,2022.12.31 현재,"35,559,145,195",제 17 기,2021.12.31 현재,"40,997,414,269",2,KRW
20240320000936,11011,2023,01454341,367000,OFS,재무제표,BS,재무상태표,비유동자산,제 19 기,2023.12.31 현재,"25,505,185,752",제 18 기,2022.12.31 현재,"20,951,951,906",제 17 기,2021.12.31 현재,"11,227,996,666",4,KRW
20240320000936,11011,2023,01454341,367000,OFS,재무제표,BS,재무상태표,자산총계,제 19 기,2023.12.31 현재,"53,612,411,847",제 18 기,2022.12.31 현재,"56,511,097,101",제 17 기,2021.12.31 현재,"52,225,410,935",6,KRW
20240320000936,11011,2023,01454341,367000,OFS,재무제표,BS,재무상태표,유동부채,제 19 기,2023.12.31 현재,"9,972,016,871",제 18 기,2022.12.31 현재,"8,462,423,039",제 17 기,2021.12.31 현재,"7,610,389,474",8,KRW
20240320000936,11011,2023,01454341,367000,OFS,재무제표,BS,재무상태표,비유동부채,제 19 기,2023.12.31 현재,"1,256,166,489",제 18 기,2022.12.31 현재,"930,660,908",제 17 기,2021.12.31 현재,"1,105,528,722",10,KRW
20240320000936,11011,2023,01454341,367000,OFS,재무제표,BS,재무상태표,부채총계,제 19 기,2023.12.31 현재,"11,228,183,360",제 18 기,2022.12.31 현재,"9,393,083,947",제 17 기,2021.12.31 현재,"8,715,918,196",12,KRW
20240320000936,11011,2023,01454341,367000,OFS,재무제표,BS,재무상태표,자본금,제 19 기,2023.12.31 현재,"4,183,603,500",제 18 기,2022.12.31 현재,"4,134,853,500",제 17 기,2021.12.31 현재,"4,134,853,500",15,KRW
20240320000936,11011,2023,01454341,367000,OFS,재무제표,BS,재무상태표,이익잉여금,제 19 기,2023.12.31 현재,"12,618,091,866",제 18 기,2022.12.31 현재,"15,853,646,521",제 17 기,2021.12.31 현재,"11,888,787,200",19,KRW
20240320000936,11011,2023,01454341,367000,OFS,재무제표,BS,재무상태표,자본총계,제 19 기,2023.12.31 현재,"42,384,228,487",제 18 기,2022.12.31 현재,"47,118,013,154",제 17 기,2021.12.31 현재,"43,509,492,739",22,KRW
20240320000936,11011,2023,01454341,367000,OFS,재무제표,IS,손익계산서,매출액,제 19 기,2023.01.01 ~ 2023.12.31,"33,291,839,469",제 18 기,2022.01.01 ~ 2022.12.31,"49,957,146,722",제 17 기,2021.01.01 ~ 2021.12.31,"41,893,366,448",24,KRW
20240320000936,11011,2023,01454341,367000,OFS,재무제표,IS,손익계산서,영업이익,제 19 기,2023.01.01 ~ 2023.12.31,"-4,541,180,978",제 18 기,2022.01.01 ~ 2022.12.31,"3,184,748,987",제 17 기,2021.01.01 ~ 2021.12.31,"4,143,172,785",26,KRW
20240320000936,11011,2023,01454341,367000,OFS,재무제표,IS,손익계산서,법인세차감전 순이익,제 19 기,2023.01.01 ~ 2023.12.31,"-5,047,100,965",제 18 기,2022.01.01 ~ 2022.12.31,"3,886,018,388",제 17 기,2021.01.01 ~ 2021.12.31,"4,628,021,716",28,KRW
20240320000936,11011,2023,01454341,367000,OFS,재무제표,IS,손익계산서,당기순이익,제 19 기,2023.01.01 ~ 2023.12.31,"-3,235,554,655",제 18 기,2022.01.01 ~ 2022.12.31,"3,964,859,321",제 17 기,2021.01.01 ~ 2021.12.31,"4,173,644,665",30,KRW
20240320000936,11011,2023,01454341,367000,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 19 기,2023.01.01 ~ 2023.12.31,"-3,235,554,655",제 18 기,2022.01.01 ~ 2022.12.31,"3,964,859,321",제 17 기,2021.01.01 ~ 2021.12.31,"4,173,644,665",62,KRW
20240320000936,11011,2023,01454341,367000,OFS,재무제표,IS,손익계산서,총포괄손익,제 19 기,2023.01.01 ~ 2023.12.31,"-3,235,554,655",제 18 기,2022.01.01 ~ 2022.12.31,"3,964,859,321",제 17 기,2021.01.01 ~ 2021.12.31,"4,173,644,665",64,KRW
