rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20250312001016,11011,2024,00155319,005490,CFS,연결재무제표,BS,재무상태표,유동자산,제 57 기,2024.12.31 현재,"44,029,923,444,233",제 56 기,2023.12.31 현재,"46,212,298,543,978",제 55 기,2022.12.31 현재,"47,649,465,547,079",1,KRW
20250312001016,11011,2024,00155319,005490,CFS,연결재무제표,BS,재무상태표,비유동자산,제 57 기,2024.12.31 현재,"59,374,275,553,572",제 56 기,2023.12.31 현재,"54,733,095,641,101",제 55 기,2022.12.31 현재,"50,757,315,088,175",3,KRW
20250312001016,11011,2024,00155319,005490,CFS,연결재무제표,BS,재무상태표,자산총계,제 57 기,2024.12.31 현재,"103,404,198,997,805",제 56 기,2023.12.31 현재,"100,945,394,185,079",제 55 기,2022.12.31 현재,"98,406,780,635,254",5,KRW
20250312001016,11011,2024,00155319,005490,CFS,연결재무제표,BS,재무상태표,유동부채,제 57 기,2024.12.31 현재,"22,779,718,796,788",제 56 기,2023.12.31 현재,"21,861,518,075,074",제 55 기,2022.12.31 현재,"23,188,189,987,105",7,KRW
20250312001016,11011,2024,00155319,005490,CFS,연결재무제표,BS,재무상태표,비유동부채,제 57 기,2024.12.31 현재,"19,174,112,281,333",제 56 기,2023.12.31 현재,"19,419,978,716,537",제 55 기,2022.12.31 현재,"16,961,190,058,899",9,KRW
20250312001016,11011,2024,00155319,005490,CFS,연결재무제표,BS,재무상태표,부채총계,제 57 기,2024.12.31 현재,"41,953,831,078,121",제 56 기,2023.12.31 현재,"41,281,496,791,611",제 55 기,2022.12.31 현재,"40,149,380,046,004",11,KRW
20250312001016,11011,2024,00155319,005490,CFS,연결재무제표,BS,재무상태표,자본금,제 57 기,2024.12.31 현재,"482,403,125,000",제 56 기,2023.12.31 현재,"482,403,125,000",제 55 기,2022.12.31 현재,"482,403,125,000",13,KRW
20250312001016,11011,2024,00155319,005490,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 57 기,2024.12.31 현재,"53,658,367,884,319",제 56 기,2023.12.31 현재,"53,857,514,269,524",제 55 기,2022.12.31 현재,"52,965,179,627,482",17,KRW
20250312001016,11011,2024,00155319,005490,CFS,연결재무제표,BS,재무상태표,자본총계,제 57 기,2024.12.31 현재,"61,450,367,919,684",제 56 기,2023.12.31 현재,"59,663,897,393,468",제 55 기,2022.12.31 현재,"58,257,400,589,250",21,KRW
20250312001016,11011,2024,00155319,005490,CFS,연결재무제표,IS,손익계산서,매출액,제 57 기,2024.01.01 ~ 2024.12.31,"72,688,143,160,111",제 56 기,2023.01.01 ~ 2023.12.31,"77,127,197,108,585",제 55 기,2022.01.01 ~ 2022.12.31,"84,750,203,702,240",23,KRW
20250312001016,11011,2024,00155319,005490,CFS,연결재무제표,IS,손익계산서,영업이익,제 57 기,2024.01.01 ~ 2024.12.31,"2,173,573,272,904",제 56 기,2023.01.01 ~ 2023.12.31,"3,531,422,506,439",제 55 기,2022.01.01 ~ 2022.12.31,"4,850,053,015,766",25,KRW
