rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20240429000929,11011,2023,01169434,900300,CFS,연결재무제표,BS,재무상태표,유동자산,제 11 기,2023.12.31 현재,"1,414,797,646",제 10 기,2022.12.31 현재,"1,262,565,821",제 9 기,2021.12.31 현재,"1,487,777,560",1,CNY
20240429000929,11011,2023,01169434,900300,CFS,연결재무제표,BS,재무상태표,비유동자산,제 11 기,2023.12.31 현재,"415,955,809",제 10 기,2022.12.31 현재,"1,078,098,317",제 9 기,2021.12.31 현재,"913,852,404",3,CNY
20240429000929,11011,2023,01169434,900300,CFS,연결재무제표,BS,재무상태표,자산총계,제 11 기,2023.12.31 현재,"1,881,419,385",제 10 기,2022.12.31 현재,"2,340,664,138",제 9 기,2021.12.31 현재,"2,401,629,964",5,CNY
20240429000929,11011,2023,01169434,900300,CFS,연결재무제표,BS,재무상태표,유동부채,제 11 기,2023.12.31 현재,"417,910,925",제 10 기,2022.12.31 현재,"368,054,214",제 9 기,2021.12.31 현재,"137,839,441",7,CNY
20240429000929,11011,2023,01169434,900300,CFS,연결재무제표,BS,재무상태표,비유동부채,제 11 기,2023.12.31 현재,"34,947,169",제 10 기,2022.12.31 현재,"304,245",제 9 기,2021.12.31 현재,"112,087,404",9,CNY
20240429000929,11011,2023,01169434,900300,CFS,연결재무제표,BS,재무상태표,부채총계,제 11 기,2023.12.31 현재,"452,858,094",제 10 기,2022.12.31 현재,"368,358,459",제 9 기,2021.12.31 현재,"249,926,845",11,CNY
20240429000929,11011,2023,01169434,900300,CFS,연결재무제표,BS,재무상태표,자본금,제 11 기,2023.12.31 현재,"1,117,016,384",제 10 기,2022.12.31 현재,"1,054,382,371",제 9 기,2021.12.31 현재,"738,467,983",13,CNY
20240429000929,11011,2023,01169434,900300,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 11 기,2023.12.31 현재,"311,544,907",제 10 기,2022.12.31 현재,"745,184,710",제 9 기,2021.12.31 현재,"1,240,496,538",17,CNY
20240429000929,11011,2023,01169434,900300,CFS,연결재무제표,BS,재무상태표,자본총계,제 11 기,2023.12.31 현재,"1,428,561,291",제 10 기,2022.12.31 현재,"1,972,305,679",제 9 기,2021.12.31 현재,"2,151,703,119",21,CNY
20240429000929,11011,2023,01169434,900300,CFS,연결재무제표,IS,손익계산서,매출액,제 11 기,2023.01.01 ~ 2023.12.31,"965,440,088",제 10 기,2022.01.01 ~ 2022.12.31,"1,177,133,763",제 9 기,2021.01.01 ~ 2021.12.31,"1,524,539,260",23,CNY
20240429000929,11011,2023,01169434,900300,CFS,연결재무제표,IS,손익계산서,영업이익,제 11 기,2023.01.01 ~ 2023.12.31,"-402,150,318",제 10 기,2022.01.01 ~ 2022.12.31,"-333,344,351",제 9 기,2021.01.01 ~ 2021.12.31,"95,284,178",25,CNY
20240429000929,11011,2023,01169434,900300,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 11 기,2023.01.01 ~ 2023.12.31,"-433,930,815",제 10 기,2022.01.01 ~ 2022.12.31,"-319,245,452",제 9 기,2021.01.01 ~ 2021.12.31,"88,972,983",27,CNY
20240429000929,11011,2023,01169434,900300,CFS,연결재무제표,IS,손익계산서,당기순이익,제 11 기,2023.01.01 ~ 2023.12.31,"-433,639,803",제 10 기,2022.01.01 ~ 2022.12.31,"-495,311,828",제 9 기,2021.01.01 ~ 2021.12.31,"44,594,993",29,CNY
20240429000929,11011,2023,01169434,900300,CFS,연결재무제표,IS,손익계산서,당기순이익(손실),제 11 기,2023.01.01 ~ 2023.12.31,"-433,639,803",제 10 기,2022.01.01 ~ 2022.12.31,"-495,311,828",제 9 기,2021.01.01 ~ 2021.12.31,"44,594,993",61,CNY
20240429000929,11011,2023,01169434,900300,CFS,연결재무제표,IS,손익계산서,총포괄손익,제 11 기,2023.01.01 ~ 2023.12.31,"-433,639,803",제 10 기,2022.01.01 ~ 2022.12.31,"-495,311,828",제 9 기,2021.01.01 ~ 2021.12.31,"44,594,993",63,CNY
