rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20250320000950,11011,2024,00153126,005740,CFS,연결재무제표,BS,재무상태표,유동자산,제 58 기,2024.12.31 현재,"251,687,914,614",제 57 기,2023.12.31 현재,"230,187,006,183",제 56 기,2022.12.31 현재,"271,727,927,368",1,KRW
20250320000950,11011,2024,00153126,005740,CFS,연결재무제표,BS,재무상태표,비유동자산,제 58 기,2024.12.31 현재,"929,127,223,351",제 57 기,2023.12.31 현재,"925,599,925,591",제 56 기,2022.12.31 현재,"882,042,160,079",3,KRW
20250320000950,11011,2024,00153126,005740,CFS,연결재무제표,BS,재무상태표,자산총계,제 58 기,2024.12.31 현재,"1,180,815,137,965",제 57 기,2023.12.31 현재,"1,155,786,931,774",제 56 기,2022.12.31 현재,"1,153,770,087,447",5,KRW
20250320000950,11011,2024,00153126,005740,CFS,연결재무제표,BS,재무상태표,유동부채,제 58 기,2024.12.31 현재,"387,404,791,614",제 57 기,2023.12.31 현재,"369,693,660,129",제 56 기,2022.12.31 현재,"405,281,944,441",7,KRW
20250320000950,11011,2024,00153126,005740,CFS,연결재무제표,BS,재무상태표,비유동부채,제 58 기,2024.12.31 현재,"218,036,529,245",제 57 기,2023.12.31 현재,"242,144,353,546",제 56 기,2022.12.31 현재,"230,529,747,414",9,KRW
20250320000950,11011,2024,00153126,005740,CFS,연결재무제표,BS,재무상태표,부채총계,제 58 기,2024.12.31 현재,"605,441,320,859",제 57 기,2023.12.31 현재,"611,838,013,675",제 56 기,2022.12.31 현재,"635,811,691,855",11,KRW
20250320000950,11011,2024,00153126,005740,CFS,연결재무제표,BS,재무상태표,자본금,제 58 기,2024.12.31 현재,"7,724,036,500",제 57 기,2023.12.31 현재,"7,724,036,500",제 56 기,2022.12.31 현재,"7,724,036,500",13,KRW
20250320000950,11011,2024,00153126,005740,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 58 기,2024.12.31 현재,"292,704,590,803",제 57 기,2023.12.31 현재,"274,180,835,894",제 56 기,2022.12.31 현재,"253,954,908,327",17,KRW
20250320000950,11011,2024,00153126,005740,CFS,연결재무제표,BS,재무상태표,자본총계,제 58 기,2024.12.31 현재,"575,373,817,106",제 57 기,2023.12.31 현재,"543,948,918,099",제 56 기,2022.12.31 현재,"517,958,395,592",21,KRW
20250320000950,11011,2024,00153126,005740,CFS,연결재무제표,IS,손익계산서,매출액,제 58 기,2024.01.01 ~ 2024.12.31,"1,046,896,219,641",제 57 기,2023.01.01 ~ 2023.12.31,"1,035,541,074,592",제 56 기,2022.01.01 ~ 2022.12.31,"979,071,454,561",23,KRW
