rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20240320000853,11011,2023,00867973,294630,OFS,재무제표,BS,재무상태표,유동자산,제 20 기,2023.12.31 현재,"7,266,085,319",제 19 기,2022.12.31 현재,"9,062,023,374",제 18 기,2021.12.31 현재,"13,483,563,752",2,KRW
20240320000853,11011,2023,00867973,294630,OFS,재무제표,BS,재무상태표,비유동자산,제 20 기,2023.12.31 현재,"8,167,462,683",제 19 기,2022.12.31 현재,"8,600,651,806",제 18 기,2021.12.31 현재,"8,180,663,773",4,KRW
20240320000853,11011,2023,00867973,294630,OFS,재무제표,BS,재무상태표,자산총계,제 20 기,2023.12.31 현재,"15,433,548,002",제 19 기,2022.12.31 현재,"17,662,675,180",제 18 기,2021.12.31 현재,"21,664,227,525",6,KRW
20240320000853,11011,2023,00867973,294630,OFS,재무제표,BS,재무상태표,유동부채,제 20 기,2023.12.31 현재,"3,420,466,057",제 19 기,2022.12.31 현재,"8,793,405,524",제 18 기,2021.12.31 현재,"10,670,689,866",8,KRW
20240320000853,11011,2023,00867973,294630,OFS,재무제표,BS,재무상태표,비유동부채,제 20 기,2023.12.31 현재,"999,486,046",제 19 기,2022.12.31 현재,"965,049,132",제 18 기,2021.12.31 현재,"1,124,360,489",10,KRW
20240320000853,11011,2023,00867973,294630,OFS,재무제표,BS,재무상태표,부채총계,제 20 기,2023.12.31 현재,"4,419,952,103",제 19 기,2022.12.31 현재,"9,758,454,656",제 18 기,2021.12.31 현재,"11,795,050,355",12,KRW
20240320000853,11011,2023,00867973,294630,OFS,재무제표,BS,재무상태표,자본금,제 20 기,2023.12.31 현재,"11,769,229,500",제 19 기,2022.12.31 현재,"10,694,580,000",제 18 기,2021.12.31 현재,"10,694,580,000",15,KRW
20240320000853,11011,2023,00867973,294630,OFS,재무제표,BS,재무상태표,자본총계,제 20 기,2023.12.31 현재,"11,013,595,899",제 19 기,2022.12.31 현재,"7,904,220,524",제 18 기,2021.12.31 현재,"9,869,177,170",22,KRW
20240320000853,11011,2023,00867973,294630,OFS,재무제표,IS,손익계산서,매출액,제 20 기,2023.01.01 ~ 2023.12.31,"6,390,911,562",제 19 기,2022.01.01 ~ 2022.12.31,"6,364,610,272",제 18 기,2021.01.01 ~ 2021.12.31,"1,137,169,357",24,KRW
20240320000853,11011,2023,00867973,294630,OFS,재무제표,IS,손익계산서,영업이익,제 20 기,2023.01.01 ~ 2023.12.31,"-3,093,888,012",제 19 기,2022.01.01 ~ 2022.12.31,"-2,400,302,378",제 18 기,2021.01.01 ~ 2021.12.31,"-3,633,006,882",26,KRW
20240320000853,11011,2023,00867973,294630,OFS,재무제표,IS,손익계산서,법인세차감전 순이익,제 20 기,2023.01.01 ~ 2023.12.31,"-11,253,726,653",제 19 기,2022.01.01 ~ 2022.12.31,"-2,115,205,777",제 18 기,2021.01.01 ~ 2021.12.31,"-3,996,088,702",28,KRW
20240320000853,11011,2023,00867973,294630,OFS,재무제표,IS,손익계산서,당기순이익,제 20 기,2023.01.01 ~ 2023.12.31,"-11,253,726,653",제 19 기,2022.01.01 ~ 2022.12.31,"-2,115,205,777",제 18 기,2021.01.01 ~ 2021.12.31,"-3,996,088,702",30,KRW
20240320000853,11011,2023,00867973,294630,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 20 기,2023.01.01 ~ 2023.12.31,"-11,253,726,653",제 19 기,2022.01.01 ~ 2022.12.31,"-2,115,205,777",제 18 기,2021.01.01 ~ 2021.12.31,"-3,996,088,702",62,KRW
20240320000853,11011,2023,00867973,294630,OFS,재무제표,IS,손익계산서,총포괄손익,제 20 기,2023.01.01 ~ 2023.12.31,"-11,363,859,516",제 19 기,2022.01.01 ~ 2022.12.31,"-1,964,956,646",제 18 기,2021.01.01 ~ 2021.12.31,"-3,705,817,824",64,KRW
