rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20250325000803,11011,2024,00103592,009290,CFS,연결재무제표,BS,재무상태표,유동자산,제 52 기,2024.12.31 현재,"719,111,794,531",제 51 기,2023.12.31 현재,"665,424,399,775",제 50 기,2022.12.31 현재,"605,746,753,111",1,KRW
20250325000803,11011,2024,00103592,009290,CFS,연결재무제표,BS,재무상태표,비유동자산,제 52 기,2024.12.31 현재,"451,163,354,123",제 51 기,2023.12.31 현재,"412,641,092,094",제 50 기,2022.12.31 현재,"326,277,005,751",3,KRW
20250325000803,11011,2024,00103592,009290,CFS,연결재무제표,BS,재무상태표,자산총계,제 52 기,2024.12.31 현재,"1,170,275,148,654",제 51 기,2023.12.31 현재,"1,078,065,491,869",제 50 기,2022.12.31 현재,"932,023,758,862",5,KRW
20250325000803,11011,2024,00103592,009290,CFS,연결재무제표,BS,재무상태표,유동부채,제 52 기,2024.12.31 현재,"461,298,834,088",제 51 기,2023.12.31 현재,"456,809,868,624",제 50 기,2022.12.31 현재,"353,566,874,753",7,KRW
20250325000803,11011,2024,00103592,009290,CFS,연결재무제표,BS,재무상태표,비유동부채,제 52 기,2024.12.31 현재,"90,708,825,774",제 51 기,2023.12.31 현재,"33,208,545,737",제 50 기,2022.12.31 현재,"31,410,650,389",9,KRW
20250325000803,11011,2024,00103592,009290,CFS,연결재무제표,BS,재무상태표,부채총계,제 52 기,2024.12.31 현재,"552,007,659,862",제 51 기,2023.12.31 현재,"490,018,414,361",제 50 기,2022.12.31 현재,"384,977,525,142",11,KRW
20250325000803,11011,2024,00103592,009290,CFS,연결재무제표,BS,재무상태표,자본금,제 52 기,2024.12.31 현재,"52,420,851,000",제 51 기,2023.12.31 현재,"52,420,851,000",제 50 기,2022.12.31 현재,"52,420,851,000",13,KRW
20250325000803,11011,2024,00103592,009290,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 52 기,2024.12.31 현재,"520,906,842,640",제 51 기,2023.12.31 현재,"485,155,108,873",제 50 기,2022.12.31 현재,"453,838,289,029",17,KRW
20250325000803,11011,2024,00103592,009290,CFS,연결재무제표,BS,재무상태표,자본총계,제 52 기,2024.12.31 현재,"618,267,488,792",제 51 기,2023.12.31 현재,"588,047,077,508",제 50 기,2022.12.31 현재,"547,046,233,720",21,KRW
20250325000803,11011,2024,00103592,009290,CFS,연결재무제표,IS,손익계산서,매출액,제 52 기,2024.01.01 ~ 2024.12.31,"1,640,718,849,226",제 51 기,2023.01.01 ~ 2023.12.31,"1,514,454,148,123",제 50 기,2022.01.01 ~ 2022.12.31,"1,431,545,255,139",23,KRW
20250325000803,11011,2024,00103592,009290,CFS,연결재무제표,IS,손익계산서,영업이익,제 52 기,2024.01.01 ~ 2024.12.31,"30,097,355,344",제 51 기,2023.01.01 ~ 2023.12.31,"42,069,819,369",제 50 기,2022.01.01 ~ 2022.12.31,"38,244,441,686",25,KRW
20250325000803,11011,2024,00103592,009290,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 52 기,2024.01.01 ~ 2024.12.31,"57,324,816,178",제 51 기,2023.01.01 ~ 2023.12.31,"49,019,336,618",제 50 기,2022.01.01 ~ 2022.12.31,"36,290,716,419",27,KRW
20250325000803,11011,2024,00103592,009290,CFS,연결재무제표,IS,손익계산서,당기순이익,제 52 기,2024.01.01 ~ 2024.12.31,"41,844,893,500",제 51 기,2023.01.01 ~ 2023.12.31,"39,371,762,692",제 50 기,2022.01.01 ~ 2022.12.31,"26,700,699,296",29,KRW
20250325000803,11011,2024,00103592,009290,CFS,연결재무제표,IS,손익계산서,당기순이익(손실),제 52 기,2024.01.01 ~ 2024.12.31,"41,844,893,500",제 51 기,2023.01.01 ~ 2023.12.31,"39,371,762,692",제 50 기,2022.01.01 ~ 2022.12.31,"26,700,699,296",61,KRW
20250325000803,11011,2024,00103592,009290,CFS,연결재무제표,IS,손익계산서,총포괄손익,제 52 기,2024.01.01 ~ 2024.12.31,"41,544,027,460",제 51 기,2023.01.01 ~ 2023.12.31,"40,201,136,850",제 50 기,2022.01.01 ~ 2022.12.31,"23,919,977,017",63,KRW
20250325000803,11011,2024,00103592,009290,OFS,재무제표,BS,재무상태표,유동자산,제 52 기,2024.12.31 현재,"478,673,497,792",제 51 기,2023.12.31 현재,"427,681,485,802",제 50 기,2022.12.31 현재,"409,204,576,333",2,KRW
20250325000803,11011,2024,00103592,009290,OFS,재무제표,BS,재무상태표,비유동자산,제 52 기,2024.12.31 현재,"453,715,243,630",제 51 기,2023.12.31 현재,"427,635,723,537",제 50 기,2022.12.31 현재,"358,425,030,076",4,KRW
20250325000803,11011,2024,00103592,009290,OFS,재무제표,BS,재무상태표,자산총계,제 52 기,2024.12.31 현재,"932,388,741,422",제 51 기,2023.12.31 현재,"855,317,209,339",제 50 기,2022.12.31 현재,"767,629,606,409",6,KRW
20250325000803,11011,2024,00103592,009290,OFS,재무제표,BS,재무상태표,유동부채,제 52 기,2024.12.31 현재,"323,688,303,386",제 51 기,2023.12.31 현재,"309,047,339,476",제 50 기,2022.12.31 현재,"232,523,226,052",8,KRW
20250325000803,11011,2024,00103592,009290,OFS,재무제표,BS,재무상태표,비유동부채,제 52 기,2024.12.31 현재,"66,750,490,240",제 51 기,2023.12.31 현재,"20,496,120,068",제 50 기,2022.12.31 현재,"29,119,542,712",10,KRW
20250325000803,11011,2024,00103592,009290,OFS,재무제표,BS,재무상태표,부채총계,제 52 기,2024.12.31 현재,"390,438,793,626",제 51 기,2023.12.31 현재,"329,543,459,544",제 50 기,2022.12.31 현재,"261,642,768,764",12,KRW
20250325000803,11011,2024,00103592,009290,OFS,재무제표,BS,재무상태표,자본금,제 52 기,2024.12.31 현재,"52,420,851,000",제 51 기,2023.12.31 현재,"52,420,851,000",제 50 기,2022.12.31 현재,"52,420,851,000",15,KRW
20250325000803,11011,2024,00103592,009290,OFS,재무제표,BS,재무상태표,이익잉여금,제 52 기,2024.12.31 현재,"486,479,608,783",제 51 기,2023.12.31 현재,"465,906,525,635",제 50 기,2022.12.31 현재,"439,349,207,180",19,KRW
20250325000803,11011,2024,00103592,009290,OFS,재무제표,BS,재무상태표,자본총계,제 52 기,2024.12.31 현재,"541,949,947,796",제 51 기,2023.12.31 현재,"525,773,749,795",제 50 기,2022.12.31 현재,"505,986,837,645",22,KRW
20250325000803,11011,2024,00103592,009290,OFS,재무제표,IS,손익계산서,매출액,제 52 기,2024.01.01 ~ 2024.12.31,"974,839,874,431",제 51 기,2023.01.01 ~ 2023.12.31,"917,071,057,613",제 50 기,2022.01.01 ~ 2022.12.31,"850,526,444,425",24,KRW
20250325000803,11011,2024,00103592,009290,OFS,재무제표,IS,손익계산서,영업이익,제 52 기,2024.01.01 ~ 2024.12.31,"28,125,173,255",제 51 기,2023.01.01 ~ 2023.12.31,"39,740,994,681",제 50 기,2022.01.01 ~ 2022.12.31,"33,566,313,165",26,KRW
20250325000803,11011,2024,00103592,009290,OFS,재무제표,IS,손익계산서,법인세차감전 순이익,제 52 기,2024.01.01 ~ 2024.12.31,"35,794,921,145",제 51 기,2023.01.01 ~ 2023.12.31,"41,172,049,625",제 50 기,2022.01.01 ~ 2022.12.31,"31,909,766,728",28,KRW
20250325000803,11011,2024,00103592,009290,OFS,재무제표,IS,손익계산서,당기순이익,제 52 기,2024.01.01 ~ 2024.12.31,"24,979,417,819",제 51 기,2023.01.01 ~ 2023.12.31,"31,989,254,617",제 50 기,2022.01.01 ~ 2022.12.31,"23,739,401,785",30,KRW
20250325000803,11011,2024,00103592,009290,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 52 기,2024.01.01 ~ 2024.12.31,"24,979,417,819",제 51 기,2023.01.01 ~ 2023.12.31,"31,989,254,617",제 50 기,2022.01.01 ~ 2022.12.31,"23,739,401,785",62,KRW
20250325000803,11011,2024,00103592,009290,OFS,재무제표,IS,손익계산서,총포괄손익,제 52 기,2024.01.01 ~ 2024.12.31,"24,251,684,551",제 51 기,2023.01.01 ~ 2023.12.31,"30,129,864,860",제 50 기,2022.01.01 ~ 2022.12.31,"24,330,784,900",64,KRW
