rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20240318000626,11011,2023,01413371,343090,OFS,재무제표,BS,재무상태표,유동자산,제 8 기,2023.12.31 현재,"3,126,217,712",제 7 기,2022.12.31 현재,"4,268,346,748",제 6 기,2021.12.31 현재,"6,663,847,721",2,KRW
20240318000626,11011,2023,01413371,343090,OFS,재무제표,BS,재무상태표,비유동자산,제 8 기,2023.12.31 현재,"824,096,518",제 7 기,2022.12.31 현재,"953,480,988",제 6 기,2021.12.31 현재,"1,118,063,442",4,KRW
20240318000626,11011,2023,01413371,343090,OFS,재무제표,BS,재무상태표,자산총계,제 8 기,2023.12.31 현재,"3,950,314,230",제 7 기,2022.12.31 현재,"5,221,827,736",제 6 기,2021.12.31 현재,"7,781,911,163",6,KRW
20240318000626,11011,2023,01413371,343090,OFS,재무제표,BS,재무상태표,유동부채,제 8 기,2023.12.31 현재,"512,390,552",제 7 기,2022.12.31 현재,"10,419,874,250",제 6 기,2021.12.31 현재,"9,241,846,484",8,KRW
20240318000626,11011,2023,01413371,343090,OFS,재무제표,BS,재무상태표,비유동부채,제 8 기,2023.12.31 현재,"1,817,193,806",제 7 기,2022.12.31 현재,"110,393,123",제 6 기,2021.12.31 현재,"142,848,292",10,KRW
20240318000626,11011,2023,01413371,343090,OFS,재무제표,BS,재무상태표,부채총계,제 8 기,2023.12.31 현재,"2,329,584,358",제 7 기,2022.12.31 현재,"10,530,267,373",제 6 기,2021.12.31 현재,"9,384,694,776",12,KRW
20240318000626,11011,2023,01413371,343090,OFS,재무제표,BS,재무상태표,자본금,제 8 기,2023.12.31 현재,"8,160,682,500",제 7 기,2022.12.31 현재,"5,780,581,500",제 6 기,2021.12.31 현재,"5,458,325,000",15,KRW
20240318000626,11011,2023,01413371,343090,OFS,재무제표,BS,재무상태표,이익잉여금,제 8 기,2023.12.31 현재,"-23,389,997,787",제 7 기,2022.12.31 현재,"-20,636,652,258",제 6 기,2021.12.31 현재,"-15,589,224,374",19,KRW
20240318000626,11011,2023,01413371,343090,OFS,재무제표,BS,재무상태표,자본총계,제 8 기,2023.12.31 현재,"1,620,729,872",제 7 기,2022.12.31 현재,"-5,308,439,637",제 6 기,2021.12.31 현재,"-1,602,783,613",22,KRW
20240318000626,11011,2023,01413371,343090,OFS,재무제표,IS,손익계산서,매출액,제 8 기,2023.01.01 ~ 2023.12.31,0,제 7 기,2022.01.01 ~ 2022.12.31,0,제 6 기,2021.01.01 ~ 2021.12.31,-,24,KRW
20240318000626,11011,2023,01413371,343090,OFS,재무제표,IS,손익계산서,영업이익,제 8 기,2023.01.01 ~ 2023.12.31,"-2,680,564,187",제 7 기,2022.01.01 ~ 2022.12.31,"-4,007,084,009",제 6 기,2021.01.01 ~ 2021.12.31,-,26,KRW
20240318000626,11011,2023,01413371,343090,OFS,재무제표,IS,손익계산서,법인세차감전 순이익,제 8 기,2023.01.01 ~ 2023.12.31,"-2,798,358,573",제 7 기,2022.01.01 ~ 2022.12.31,"-5,052,526,410",제 6 기,2021.01.01 ~ 2021.12.31,-,28,KRW
20240318000626,11011,2023,01413371,343090,OFS,재무제표,IS,손익계산서,당기순이익,제 8 기,2023.01.01 ~ 2023.12.31,"-2,798,358,573",제 7 기,2022.01.01 ~ 2022.12.31,"-5,052,526,410",제 6 기,2021.01.01 ~ 2021.12.31,-,30,KRW
20240318000626,11011,2023,01413371,343090,OFS,재무제표,BS,재무상태표,파생상품자산,제 8 기,2023.12.31 현재,0,제 7 기,2022.12.31 현재,0,제 6 기,2021.12.31 현재,"66,403,086",48,KRW
20240318000626,11011,2023,01413371,343090,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 8 기,2023.01.01 ~ 2023.12.31,"-2,798,358,573",제 7 기,2022.01.01 ~ 2022.12.31,"-5,052,526,410",제 6 기,2021.01.01 ~ 2021.12.31,-,62,KRW
20240318000626,11011,2023,01413371,343090,OFS,재무제표,IS,손익계산서,총포괄손익,제 8 기,2023.01.01 ~ 2023.12.31,"-2,753,345,529",제 7 기,2022.01.01 ~ 2022.12.31,"-5,065,923,116",제 6 기,2021.01.01 ~ 2021.12.31,-,64,KRW
