rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20240320001535,11011,2023,00684802,244920,CFS,연결재무제표,BS,재무상태표,유동자산,제 17 기,2023.12.31 현재,"207,397,051,516",제 16 기,2022.12.31 현재,"203,924,789,172",제 15 기,2021.12.31 현재,"148,547,454,117",1,KRW
20240320001535,11011,2023,00684802,244920,CFS,연결재무제표,BS,재무상태표,비유동자산,제 17 기,2023.12.31 현재,"165,457,649,239",제 16 기,2022.12.31 현재,"141,377,247,933",제 15 기,2021.12.31 현재,"137,041,851,157",3,KRW
20240320001535,11011,2023,00684802,244920,CFS,연결재무제표,BS,재무상태표,자산총계,제 17 기,2023.12.31 현재,"372,854,700,755",제 16 기,2022.12.31 현재,"345,302,037,105",제 15 기,2021.12.31 현재,"285,589,305,274",5,KRW
20240320001535,11011,2023,00684802,244920,CFS,연결재무제표,BS,재무상태표,유동부채,제 17 기,2023.12.31 현재,"102,089,374,555",제 16 기,2022.12.31 현재,"77,880,633,526",제 15 기,2021.12.31 현재,"78,231,783,403",7,KRW
20240320001535,11011,2023,00684802,244920,CFS,연결재무제표,BS,재무상태표,비유동부채,제 17 기,2023.12.31 현재,"81,229,747,491",제 16 기,2022.12.31 현재,"81,272,401,595",제 15 기,2021.12.31 현재,"79,755,890,987",9,KRW
20240320001535,11011,2023,00684802,244920,CFS,연결재무제표,BS,재무상태표,부채총계,제 17 기,2023.12.31 현재,"183,319,122,046",제 16 기,2022.12.31 현재,"159,153,035,121",제 15 기,2021.12.31 현재,"157,987,674,390",11,KRW
20240320001535,11011,2023,00684802,244920,CFS,연결재무제표,BS,재무상태표,자본금,제 17 기,2023.12.31 현재,"11,303,846,500",제 16 기,2022.12.31 현재,"11,303,846,500",제 15 기,2021.12.31 현재,"11,303,846,500",13,KRW
20240320001535,11011,2023,00684802,244920,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 17 기,2023.12.31 현재,"113,589,265,535",제 16 기,2022.12.31 현재,"107,825,745,944",제 15 기,2021.12.31 현재,"60,959,897,816",17,KRW
20240320001535,11011,2023,00684802,244920,CFS,연결재무제표,BS,재무상태표,자본총계,제 17 기,2023.12.31 현재,"189,535,578,709",제 16 기,2022.12.31 현재,"186,149,001,984",제 15 기,2021.12.31 현재,"127,601,630,884",21,KRW
20240320001535,11011,2023,00684802,244920,CFS,연결재무제표,IS,손익계산서,매출액,제 17 기,2023.01.01 ~ 2023.12.31,"354,607,752,665",제 16 기,2022.01.01 ~ 2022.12.31,"270,723,518,058",제 15 기,2021.01.01 ~ 2021.12.31,"258,020,393,571",23,KRW
