rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20240320001764,11011,2023,00429694,177830,CFS,연결재무제표,BS,재무상태표,유동자산,제 27 기,2023.12.31 현재,"49,369,402,231",제 26 기,2022.12.31 현재,"66,213,207,294",제 25 기,2021.12.31 현재,"59,811,967,396",1,KRW
20240320001764,11011,2023,00429694,177830,CFS,연결재무제표,BS,재무상태표,비유동자산,제 27 기,2023.12.31 현재,"81,829,248,132",제 26 기,2022.12.31 현재,"75,479,599,065",제 25 기,2021.12.31 현재,"77,067,608,177",3,KRW
20240320001764,11011,2023,00429694,177830,CFS,연결재무제표,BS,재무상태표,자산총계,제 27 기,2023.12.31 현재,"131,198,650,363",제 26 기,2022.12.31 현재,"141,692,806,359",제 25 기,2021.12.31 현재,"136,879,575,573",5,KRW
20240320001764,11011,2023,00429694,177830,CFS,연결재무제표,BS,재무상태표,유동부채,제 27 기,2023.12.31 현재,"49,079,725,771",제 26 기,2022.12.31 현재,"64,916,877,613",제 25 기,2021.12.31 현재,"43,728,501,394",7,KRW
20240320001764,11011,2023,00429694,177830,CFS,연결재무제표,BS,재무상태표,비유동부채,제 27 기,2023.12.31 현재,"7,865,893,497",제 26 기,2022.12.31 현재,"744,413,072",제 25 기,2021.12.31 현재,"21,751,413,268",9,KRW
20240320001764,11011,2023,00429694,177830,CFS,연결재무제표,BS,재무상태표,부채총계,제 27 기,2023.12.31 현재,"56,945,619,268",제 26 기,2022.12.31 현재,"65,661,290,685",제 25 기,2021.12.31 현재,"65,479,914,662",11,KRW
20240320001764,11011,2023,00429694,177830,CFS,연결재무제표,BS,재무상태표,자본금,제 27 기,2023.12.31 현재,"7,144,376,500",제 26 기,2022.12.31 현재,"7,144,376,500",제 25 기,2021.12.31 현재,"7,099,352,000",13,KRW
20240320001764,11011,2023,00429694,177830,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 27 기,2023.12.31 현재,"38,446,176,301",제 26 기,2022.12.31 현재,"39,689,367,485",제 25 기,2021.12.31 현재,"33,347,764,869",17,KRW
20240320001764,11011,2023,00429694,177830,CFS,연결재무제표,BS,재무상태표,자본총계,제 27 기,2023.12.31 현재,"74,253,031,095",제 26 기,2022.12.31 현재,"76,031,515,674",제 25 기,2021.12.31 현재,"71,399,660,911",21,KRW
20240320001764,11011,2023,00429694,177830,CFS,연결재무제표,IS,손익계산서,매출액,제 27 기,2023.01.01 ~ 2023.12.31,"120,684,709,193",제 26 기,2022.01.01 ~ 2022.12.31,"118,037,938,315",제 25 기,2021.01.01 ~ 2021.12.31,"126,264,806,691",23,KRW
