rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20240808000319,11011,2022,00165103,005670,CFS,연결재무제표,BS,재무상태표,유동자산,제 56 기,2022.12.31 현재,"76,281,457,212",제 55 기,2021.12.31 현재,"73,471,532,141",제 54 기,2020.12.31 현재,"76,190,149,911",1,KRW
20240808000319,11011,2022,00165103,005670,CFS,연결재무제표,BS,재무상태표,비유동자산,제 56 기,2022.12.31 현재,"130,621,917,805",제 55 기,2021.12.31 현재,"79,681,676,212",제 54 기,2020.12.31 현재,"65,559,861,991",3,KRW
20240808000319,11011,2022,00165103,005670,CFS,연결재무제표,BS,재무상태표,자산총계,제 56 기,2022.12.31 현재,"206,903,375,017",제 55 기,2021.12.31 현재,"153,153,208,353",제 54 기,2020.12.31 현재,"141,750,011,902",5,KRW
20240808000319,11011,2022,00165103,005670,CFS,연결재무제표,BS,재무상태표,유동부채,제 56 기,2022.12.31 현재,"75,410,390,504",제 55 기,2021.12.31 현재,"50,144,302,936",제 54 기,2020.12.31 현재,"45,085,792,341",7,KRW
20240808000319,11011,2022,00165103,005670,CFS,연결재무제표,BS,재무상태표,비유동부채,제 56 기,2022.12.31 현재,"29,473,172,574",제 55 기,2021.12.31 현재,"6,284,920,304",제 54 기,2020.12.31 현재,"9,081,937,529",9,KRW
20240808000319,11011,2022,00165103,005670,CFS,연결재무제표,BS,재무상태표,부채총계,제 56 기,2022.12.31 현재,"104,883,563,078",제 55 기,2021.12.31 현재,"56,429,223,240",제 54 기,2020.12.31 현재,"54,167,729,870",11,KRW
20240808000319,11011,2022,00165103,005670,CFS,연결재무제표,BS,재무상태표,자본금,제 56 기,2022.12.31 현재,"5,000,000,000",제 55 기,2021.12.31 현재,"5,000,000,000",제 54 기,2020.12.31 현재,"5,000,000,000",13,KRW
20240808000319,11011,2022,00165103,005670,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 56 기,2022.12.31 현재,"82,936,369,604",제 55 기,2021.12.31 현재,"81,492,289,761",제 54 기,2020.12.31 현재,"76,371,778,181",17,KRW
20240808000319,11011,2022,00165103,005670,CFS,연결재무제표,BS,재무상태표,자본총계,제 56 기,2022.12.31 현재,"102,019,811,939",제 55 기,2021.12.31 현재,"96,723,985,113",제 54 기,2020.12.31 현재,"87,582,282,032",21,KRW
20240808000319,11011,2022,00165103,005670,CFS,연결재무제표,IS,손익계산서,매출액,제 56 기,2022.01.01 ~ 2022.12.31,"183,932,294,383",제 55 기,2021.01.01 ~ 2021.12.31,"148,290,775,880",제 54 기,2020.01.01 ~ 2020.12.31,"137,335,986,136",23,KRW
20240808000319,11011,2022,00165103,005670,CFS,연결재무제표,IS,손익계산서,영업이익,제 56 기,2022.01.01 ~ 2022.12.31,"6,061,317,355",제 55 기,2021.01.01 ~ 2021.12.31,"6,091,672,921",제 54 기,2020.01.01 ~ 2020.12.31,"6,183,740,676",25,KRW
